Connecting to host speedtest.serverius.net, port 5002
[  4] local 2806:2f0:9801:b2b6:d4e1:4ac9:15a3:233a port 43388 connected to 2a00:1ca8:33::2 port 5002
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  50.00-50.25  sec   880 KBytes  28.9 Mbits/sec    0    637 KBytes       
[  4]  50.25-50.50  sec   880 KBytes  28.8 Mbits/sec    0    641 KBytes       
[  4]  50.50-50.75  sec   880 KBytes  28.8 Mbits/sec    0    644 KBytes       
[  4]  50.75-51.00  sec   943 KBytes  31.0 Mbits/sec    0    647 KBytes       
[  4]  51.00-51.25  sec   818 KBytes  26.8 Mbits/sec    0    648 KBytes       
[  4]  51.25-51.50  sec   880 KBytes  28.9 Mbits/sec    0    651 KBytes       
[  4]  51.50-51.75  sec   943 KBytes  30.8 Mbits/sec    0    652 KBytes       
[  4]  51.75-52.00  sec   818 KBytes  26.8 Mbits/sec    0    654 KBytes       
[  4]  52.00-52.25  sec   818 KBytes  26.8 Mbits/sec    0    654 KBytes       
[  4]  52.25-52.50  sec   880 KBytes  28.8 Mbits/sec    0    654 KBytes       
[  4]  52.50-52.75  sec   880 KBytes  28.9 Mbits/sec    0    654 KBytes       
[  4]  52.75-53.00  sec   755 KBytes  24.8 Mbits/sec    0    654 KBytes       
[  4]  53.00-53.25  sec   880 KBytes  28.8 Mbits/sec    0    654 KBytes       
[  4]  53.25-53.50  sec   943 KBytes  30.9 Mbits/sec    0    654 KBytes       
[  4]  53.50-53.75  sec   943 KBytes  30.9 Mbits/sec    0    654 KBytes       
[  4]  53.75-54.00  sec   880 KBytes  28.8 Mbits/sec    0    654 KBytes       
[  4]  54.00-54.25  sec   880 KBytes  28.9 Mbits/sec    0    654 KBytes       
[  4]  54.25-54.50  sec   943 KBytes  30.9 Mbits/sec    0    654 KBytes       
[  4]  54.50-54.75  sec   880 KBytes  28.9 Mbits/sec    0    655 KBytes       
[  4]  54.75-55.00  sec   818 KBytes  26.8 Mbits/sec    0    656 KBytes       
[  4]  55.00-55.25  sec   880 KBytes  28.9 Mbits/sec    0    658 KBytes       
[  4]  55.25-55.50  sec  0.00 Bytes  0.00 bits/sec   49    455 KBytes       
[  4]  55.50-55.75  sec  1.23 MBytes  41.2 Mbits/sec    0    466 KBytes       
[  4]  55.75-56.00  sec   818 KBytes  26.8 Mbits/sec    0    487 KBytes       
[  4]  56.00-56.25  sec   629 KBytes  20.6 Mbits/sec    0    504 KBytes       
[  4]  56.25-56.50  sec   755 KBytes  24.7 Mbits/sec    0    521 KBytes       
[  4]  56.50-56.75  sec   692 KBytes  22.6 Mbits/sec    0    537 KBytes       
[  4]  56.75-57.00  sec   755 KBytes  24.7 Mbits/sec    0    552 KBytes       
[  4]  57.00-57.25  sec   692 KBytes  22.7 Mbits/sec    0    565 KBytes       
[  4]  57.25-57.50  sec   755 KBytes  24.7 Mbits/sec    0    577 KBytes       
[  4]  57.50-57.75  sec   880 KBytes  28.9 Mbits/sec    0    589 KBytes       
[  4]  57.75-58.00  sec   755 KBytes  24.7 Mbits/sec    0    597 KBytes       
[  4]  58.00-58.25  sec   943 KBytes  30.9 Mbits/sec    0    607 KBytes       
[  4]  58.25-58.50  sec   755 KBytes  24.7 Mbits/sec    0    615 KBytes       
[  4]  58.50-58.75  sec   880 KBytes  28.8 Mbits/sec    0    622 KBytes       
[  4]  58.75-59.00  sec   880 KBytes  28.9 Mbits/sec    0    629 KBytes       
[  4]  59.00-59.25  sec   818 KBytes  26.8 Mbits/sec    0    634 KBytes       
[  4]  59.25-59.50  sec   880 KBytes  28.9 Mbits/sec    0    638 KBytes       
[  4]  59.50-59.75  sec   943 KBytes  30.9 Mbits/sec    0    643 KBytes       
[  4]  59.75-60.00  sec   818 KBytes  26.8 Mbits/sec    0    647 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec   185 MBytes  25.9 Mbits/sec  1069             sender
[  4]   0.00-60.00  sec   182 MBytes  25.4 Mbits/sec                  receiver

iperf Done.
